,n_estimates,max_d,min_samples_split,mins_samples_leaf,TN,FN,FP,TP,roc_auc
380,400,9,6,1,21261,1369,9116,1892,0.640047329381583
381,400,9,6,2,21001,1344,9376,1917,0.6396009557780773
382,400,9,6,3,21167,1351,9210,1910,0.6412599957578987
383,400,9,6,4,21044,1334,9333,1927,0.6418420001082785
384,400,9,6,5,20822,1295,9555,1966,0.6441676805280775
385,400,9,7,1,21230,1372,9147,1889,0.6390770933120055
386,400,9,7,2,21119,1358,9258,1903,0.6393966339205557
387,400,9,7,3,21081,1352,9296,1909,0.6396911239021573
388,400,9,7,4,21045,1335,9332,1926,0.6417051327296087
389,400,9,7,5,20910,1306,9467,1955,0.6439295456240259
390,400,10,2,1,22098,1485,8279,1776,0.6360382448118476
391,400,10,2,2,21981,1456,8396,1805,0.6385589344946245
392,400,10,2,3,21806,1435,8571,1826,0.6388983369240578
393,400,10,2,4,21750,1417,8627,1844,0.6407364765202437
394,400,10,2,5,21624,1397,8753,1864,0.6417290830066329
395,400,10,3,1,22136,1490,8241,1771,0.6358970820304912
396,400,10,3,2,22009,1468,8368,1793,0.6371798830957955
397,400,10,3,3,21804,1439,8573,1822,0.6382521084799254
398,400,10,3,4,21583,1421,8794,1840,0.6373743775161482
399,400,10,3,5,21700,1400,8677,1861,0.6425200478456377
400,400,10,4,1,22155,1470,8222,1791,0.6392763626453328
401,400,10,4,2,21998,1453,8379,1808,0.6392987330621446
402,400,10,4,3,21867,1436,8510,1825,0.6397490588399201
403,400,10,4,4,21872,1434,8505,1827,0.6401380123482884
404,400,10,4,5,21706,1405,8671,1856,0.6418521707738641
405,400,10,5,1,22124,1481,8253,1780,0.6370795089737928
406,400,10,5,2,21972,1440,8405,1821,0.6408640313043699
407,400,10,5,3,21851,1437,8526,1824,0.6393323744944661
408,400,10,5,4,21870,1441,8507,1820,0.63903180230342
409,400,10,5,5,21636,1396,8741,1865,0.6420799280657846
410,400,10,6,1,22126,1468,8251,1793,0.6391056822201331
411,400,10,6,2,21968,1460,8409,1801,0.6377316480131612
412,400,10,6,3,21730,1419,8647,1842,0.6401006256882424
413,400,10,6,4,21708,1413,8669,1848,0.6406584728150526
414,400,10,6,5,21634,1392,8743,1869,0.6426603172236148
415,400,10,7,1,22095,1447,8282,1814,0.6418152989564433
416,400,10,7,2,21902,1439,8475,1822,0.6398651709943278
417,400,10,7,3,21820,1414,8557,1847,0.642348645631267
418,400,10,7,4,21595,1408,8782,1853,0.6395651489782438
419,400,10,7,5,21668,1426,8709,1835,0.638006826348842
420,400,11,2,1,23127,1612,7250,1649,0.633502846781916
421,400,11,2,2,22679,1549,7698,1712,0.6357884603315322
422,400,11,2,3,22576,1532,7801,1729,0.6366996611134228
423,400,11,2,4,22455,1522,7922,1739,0.6362412947052363
424,400,11,2,5,22223,1478,8154,1783,0.6391690129105065
425,400,11,3,1,22962,1589,7415,1672,0.6343135018275955
426,400,11,3,2,22694,1541,7683,1720,0.6372619752571278
427,400,11,3,3,22628,1522,7749,1739,0.6390888438378037
428,400,11,3,4,22488,1520,7889,1741,0.6370911232177195
429,400,11,3,5,22367,1494,8010,1767,0.6390859920134584
430,400,11,4,1,23045,1610,7332,1651,0.6324597958132129
431,400,11,4,2,22743,1557,7634,1704,0.6356152713104037
432,400,11,4,3,22575,1531,7802,1730,0.6368365284920925
433,400,11,4,4,22485,1511,7892,1750,0.638421688555201
434,400,11,4,5,22361,1505,8016,1756,0.6373006338813065
435,400,11,5,1,22938,1585,7439,1676,0.634531774910764
436,400,11,5,2,22847,1583,7530,1678,0.6333405855478809
437,400,11,5,3,22458,1514,7919,1747,0.6375172917719255
438,400,11,5,4,22425,1507,7952,1754,0.6380474080616501
439,400,11,5,5,22214,1488,8163,1773,0.6374876025138736
440,400,11,6,1,22981,1590,7396,1671,0.6344729112372851
441,400,11,6,2,22866,1573,7511,1688,0.6351865941602693
442,400,11,6,3,22463,1519,7914,1742,0.6368329548785765
443,400,11,6,4,22535,1508,7842,1753,0.6397046612347136
